name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
2MASS J05413876-0156024,85.4114167,-1.9340278,,YSO,D,2012AJ....144..192M,0.380707,2CXO J054138.7-015602,85.411503,-1.934089,0.715,0.715,2,0.181209,2MASS J05413876-0156024,85.4115383098,-1.9340531067,0.001,0.001,90.0,6.0,05 41 38.76919,-01 56 02.5912,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,27.969,0.404,9.33e-05,1.3e-06,,,3.4947,0.8218,-0.858,-1.249,0.574,0.619,90,,,,,,,13.729,11.762,10.555,,,,,
2MASS J05413901-0151453,85.4125,-1.8625278,,YSO,D,2012AJ....144..192M,0.301585,2CXO J054139.0-015145,85.4125589,-1.8625874,0.939,0.939,2,0.122536,2MASS J05413901-0151453,85.4125833333,-1.8626111111,0.07,0.07,90.0,5.0,05 41 39.02,-01 51 45.4,C,2003yCat.2246....0C,YSO,*  |IR |X  |Y*O,,,,,M4.75,,,,,,,,,,,,,,,15.089,12.765,11.566,,,,,
Cl* NGC 2024 LSE 4,85.4177917,-1.8478611,,YSO,M2,2006ApJ...646.1215L,0.633817,2CXO J054140.2-015052,85.4176878,-1.8480033,0.903,0.903,2,0.579698,2MASS J05414026-0150522,85.4177959161,-1.847883915,0.0,0.0,90.0,8.0,05 41 40.27102,-01 50 52.3821,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,25.598,0.347,8.54e-05,1.2e-06,M1.75,,2.6682,0.5554,-0.192,-0.442,0.459,0.472,90,,,,,,,14.16,12.128,11.151,,,,,
2MASS J05414398-0158454,85.4332917,-1.9792778,,YSO,D,2012AJ....144..192M,0.362154,2CXO J054143.9-015845,85.4332869,-1.9793783,0.809,0.809,2,0.15676,2MASS J05414398-0158454,85.4332911334,-1.9793349617,0.0,0.0,90.0,7.0,05 41 43.98987,-01 58 45.6059,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,28.13,0.543,9.38e-05,1.8e-06,,,2.6609,0.3335,-0.041,-1.083,0.272,0.276,90,,,,,,,13.14,12.014,11.335,,,,,
2MASS J05414562-0157330,85.4400833,-1.9591389,,YSO,D,2012AJ....144..192M,0.523036,2CXO J054145.6-015733,85.440067,-1.9592833,0.765,0.765,2,0.204904,2MASS J05414562-0157330,85.4401110156,-1.9592471819,0.0,0.0,90.0,4.0,05 41 45.62664,-01 57 33.2899,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,,,2.9985,0.2997,0.166,-0.962,0.248,0.249,90,,,,,,,14.325,13.503,13.069,,,,,
2MASS J05414641-0150111,85.4432917,-1.8363333,,YSO,D,2012AJ....144..192M,0.870217,2CXO J054146.3-015011,85.4433009,-1.8365749,0.925,0.925,2,0.516809,2MASS J05414641-0150111,85.4434116732,-1.8364835171,0.0,0.0,90.0,8.0,05 41 46.41880,-01 50 11.3407,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,26.56,0.167,8.86e-05,6e-07,,,2.675,0.1175,-0.297,-0.261,0.111,0.102,90,,,,,,,12.594,11.256,10.618,,,,,
EM* LkHA  289,85.445375,-1.8325556,,YSO,D,2012AJ....144..192M,0.271903,2CXO J054146.8-014957,85.445378,-1.8326311,0.766,0.766,2,0.287912,EM* LkHA  289,85.4454578763,-1.8326358313,0.0,0.0,90.0,12.0,05 41 46.90989,-01 49 57.4890,A,2020yCat.1350....0G,YSO,*  |Em*|IR |X  |Y*?|Y*O,19.55,0.248,6.52e-05,8e-07,,,2.478,0.0393,0.727,0.511,0.038,0.034,90,,,,20.0,,,10.991,9.563,8.783,,,,,
Cl* NGC 2024 LSE 13,85.4569583,-1.8908611,,YSO,M3,2006ApJ...646.1215L,0.231189,2CXO J054149.6-015327,85.45693,-1.8909187,0.727,0.727,2,0.253803,2MASS J05414966-0153271,85.4569804962,-1.8908694733,0.001,0.001,90.0,5.0,05 41 49.67532,-01 53 27.1301,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,,,,,M2.75,,2.4091,0.7924,-1.408,-1.247,0.83,0.782,90,,,,,,,14.227,12.514,11.476,,,,,
2MASS J05420956-0200044,85.539875,-2.0011944,,YSO,D,2012AJ....144..192M,0.434276,2CXO J054209.5-020004,85.5398892,-2.0013142,0.738,0.738,2,0.174223,2MASS J05420956-0200044,85.5399056662,-2.0012686886,0.0,0.0,90.0,6.0,05 42 09.57736,-02 00 04.5673,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,28.07,0.177,9.36e-05,6e-07,,,2.3886,0.324,-2.448,-3.509,0.306,0.246,90,,,,,,,12.636,11.552,11.041,,,,,
TX Col,85.834167,-41.031944,1.0,CV,NL,2003A&A...404..301R,1.759587,2CXO J054320.3-410154,85.8348148,-41.0319324,0.711,2.122621256842586,2,0.234821,Gaia EDR3 4804695423438691200,85.8347294647,-41.0319429317,0.0,0.0,90.0,1.0,05 43 20.33507,-41 01 54.9946,A,2020yCat.1350....0G,Star,*  |blu,,,,,,,1.0196,0.02,1.124,-0.727,0.024,0.024,90,,,,,,,,,,,,,,
2MASS J05461162-0006279,86.5483333,-0.1076944,,YSO,D,2012AJ....144..192M,0.426711,2CXO J054611.6-000628,86.5483809,-0.1078029,0.715,0.715,2,0.068896,2MASS J05461162-0006279,86.548386125,-0.1077844892,0.0,0.0,90.0,15.0,05 46 11.61267,-00 06 28.0242,A,2020yCat.1350....0G,YSO,*  |**|IR |X  |Y*?|Y*O,27.05,0.215,9.02e-05,7e-07,,,2.8679,0.4387,1.658,-1.858,0.381,0.336,90,,,,,,,13.957,12.478,11.306,,,,,
2MASS J05462087+0008094,86.58698,0.135945,,YSO,Md_c,2020AJ....160..120J,0.431696,2CXO J054620.8+000808,86.5869824,0.1358251,0.842,0.842,2,0.337838,2MASS J05462087+0008094,86.5869896626,0.1359186624,0.0,0.0,90.0,7.0,05 46 20.87752,+00 08 09.3072,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|Y*?|Y*O,26.219,0.175,8.75e-05,6e-07,K8,,2.4628,0.0645,-1.087,-0.917,0.068,0.054,90,,,,,,,12.405,11.619,10.685,,,,,
2MASS J05463489+0004206,86.645375,0.0723889,,YSO,D,2012AJ....144..192M,0.324217,2CXO J054634.9+000420,86.6454643,0.0723775,0.841,0.841,2,0.23324,2MASS J05463489+0004206,86.6454317681,0.0724335294,0.0,0.0,90.0,10.0,05 46 34.90362,+00 04 20.7607,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|Y*?|Y*O,30.06,0.424,0.0001003,1.4e-06,M4,,2.393,0.0742,0.234,-1.02,0.079,0.061,90,,,,,,,12.752,11.563,11.208,,,,,
EM* LkHA  304,86.65441389,0.02272194,,YSO,GKg_c,2020AJ....160..120J,0.261204,2CXO J054637.0+000121,86.6544798,0.0226916,0.723,0.723,2,0.217711,EM* LkHA  304,86.6544518,0.0227452028,0.001,0.001,90.0,23.0,05 46 37.06843,+00 01 21.8827,C,2020yCat.1350....0G,TTau*,*  |Em*|IR |TT*|V* |X  |Y*?|Y*O,28.171,0.412,9.4e-05,1.4e-06,K5.5,,,,,,,,32767,,,,,16.0,,11.672,11.147,9.525,,,,,
2MASS J05464514+0003464,86.688125,0.0628889,,YSO,D,2012AJ....144..192M,0.109937,2CXO J054645.1+000346,86.6881078,0.0628637,0.734,0.734,2,0.222555,2MASS J05464514+0003464,86.6881407719,0.0629159942,0.0,0.0,90.0,5.0,05 46 45.15379,+00 03 46.4976,A,2020yCat.1350....0G,YSO,*  |IR |Y*?|Y*O,27.64,0.549,9.22e-05,1.8e-06,M2.5,,2.3116,0.128,-0.224,-0.102,0.14,0.114,90,,,,,,,13.341,12.19,11.438,,,,,
2MASS J05464696+0007091,86.695625,0.1192778,,YSO,D,2012AJ....144..192M,0.574365,2CXO J054646.9+000708,86.6956829,0.1191291,0.954,0.954,2,0.252301,2MASS J05464696+0007091,86.6957046898,0.1191957103,0.0,0.0,90.0,5.0,05 46 46.96913,+00 07 09.1046,A,2020yCat.1350....0G,YSO,*  |IR |Y*?|Y*O,24.92,0.178,8.31e-05,6e-07,,,2.3315,0.3052,0.573,-0.162,0.326,0.242,90,,,,,,,13.641,12.004,10.977,,,,,
EM* LkHA  306,86.709125,0.07775,,YSO,D,2012AJ....144..192M,0.729111,2CXO J054650.2+000439,86.7092818,0.0776218,0.742,0.742,2,0.225934,EM* LkHA  306,86.7092637024,0.0776818933,0.0,0.0,90.0,12.0,05 46 50.22329,+00 04 39.6548,A,2020yCat.1350....0G,YSO,*  |Em*|IR |V* |Y*?|Y*O,27.648,0.199,9.22e-05,7e-07,,,2.4656,0.0285,0.099,-0.174,0.029,0.022,90,,,,17.0,16.5,,11.736,10.717,10.14,,,,,
2MASS J05465148+0019213,86.7145,0.3226111,,YSO,D,2012AJ....144..192M,0.305032,2CXO J054651.4+001921,86.71444,0.3225512,0.715,0.715,2,0.297609,2MASS J05465148+0019213,86.7145119908,0.3225918409,0.0,0.0,90.0,7.0,05 46 51.48288,+00 19 21.3306,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|X  |Y*?|Y*O,26.45,0.303,8.82e-05,1e-06,M3.5,,2.4674,0.0651,-0.514,-1.236,0.077,0.057,90,,,,,,,13.132,12.284,11.802,,,,,
2MASS J05465241+0020016,86.71838694,0.33379694,,YSO,Md_b,2020AJ....160..120J,0.310678,2CXO J054652.3+002001,86.718301,0.3338048,0.754,0.754,2,0.357597,2MASS J05465241+0020016,86.7183999375,0.3337959316,0.0,0.0,90.0,10.0,05 46 52.41599,+00 20 01.6654,A,2020yCat.1350....0G,TTau*,*  |IR |LP?|TT*|X  |Y*?|Y*O,26.583,0.174,8.87e-05,6e-07,K9,,2.359,0.045,-0.938,-0.997,0.05,0.037,90,,,,,,,12.553,11.482,10.802,,,,,
2MASS J05465376+0000339,86.7239583,0.0095,,YSO,D,2012AJ....144..192M,0.695996,2CXO J054653.7+000033,86.7241406,0.0094356,0.794,0.794,2,0.23273,2MASS J05465376+0000339,86.7240811997,0.0094611124,0.0,0.0,90.0,4.0,05 46 53.77949,+00 00 34.0600,A,2020yCat.1350....0G,YSO,*  |IR |Y*?|Y*O,28.714,0.367,9.58e-05,1.2e-06,,,2.6292,0.1319,-0.638,-0.656,0.153,0.112,90,,,,,,,12.98,12.05,11.457,,,,,
2MASS J05470530+0023101,86.772125,0.3861667,,YSO,D,2012AJ....144..192M,0.341594,2CXO J054705.2+002309,86.772057,0.3861006,0.715,0.715,2,0.30997,2MASS J05470530+0023101,86.7720694198,0.3861858024,0.001,0.001,90.0,7.0,05 47 05.29666,+00 23 10.2689,A,2020yCat.1350....0G,YSO,*  |IR |Y*?|Y*O,28.16,0.475,9.39e-05,1.6e-06,,,2.5524,1.867,-0.611,-1.373,1.46,1.363,90,,,,,,,13.473,10.95,9.394,,,,,
2MASS J05471918+0019206,86.8299583,0.3224722,,YSO,D,2012AJ....144..192M,0.258796,2CXO J054719.1+001920,86.8299378,0.3224033,0.871,0.871,2,0.036877,2MASS J05471918+0019206,86.8299458525,0.3223969682,0.0,0.0,90.0,5.0,05 47 19.18700,+00 19 20.6291,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*?|Y*O,26.61,0.345,8.88e-05,1.2e-06,,,2.2802,0.0845,-0.629,-1.489,0.079,0.064,90,,,,,,,13.178,12.239,11.694,,,,,
FS Aur,86.95125,28.586389,1.0,CV,DN,2003A&A...404..301R,0.710142,2CXO J054748.3+283511,86.9514672,28.5864393,0.71,2.122286502807762,2,0.105974,V* FS Aur,86.9514996578,28.5864466647,0.0,0.0,90.0,98.0,05 47 48.35992,+28 35 11.2080,A,2020yCat.1350....0G,CataclyV*,*  |CV*|IR |Pu*|UV |V* |X,68.0,,0.0002268,,,,1.7304,0.0403,15.504,-6.549,0.046,0.029,90,,,,,,,14.766,14.585,14.254,,16.34,16.14,14.49,
NGC 2099 277,88.0094583,32.51225,,LM-STAR,G8III,1954StoAn..18a...1L,0.288696,2CXO J055202.2+323043,88.0093923,32.5121923,0.901,0.901,2,0.277892,BD+32  1112,88.0094593993,32.5122448068,0.0,0.0,90.0,15.0,05 52 02.27026,+32 30 44.0813,A,2020yCat.1350....0G,Star,*  |IR,8.16,0.12,2.72e-05,4e-07,K1III,,0.6921,0.0157,1.537,-5.402,0.019,0.011,90,,,,11.8,10.36,,7.766,7.121,6.916,,,,,
HD 270353,88.865605,-68.04921694,,LM-STAR,Fd_b,2020AJ....160..120J,0.224674,2CXO J055527.7-680257,88.8656998,-68.0492683,0.831,0.831,2,0.110889,HD 270353,88.8656236546,-68.0492565268,0.0,0.0,90.0,6.0,05 55 27.74968,-68 02 57.3235,A,2020yCat.1350....0G,Star,*  |IR,-2.88,4.79,-9.6e-06,1.6e-05,A3,,1.9397,0.0225,1.006,-1.442,0.026,0.026,90,,,,11.5,11.03,9.14,10.313,10.227,10.135,,,,,
Cl* NGC 2168 Kust 436,92.32125,24.3380278,,HM-STAR,B8,1929AnBos...3B...1W,0.430834,2CXO J060917.0+242017,92.3211251,24.3380649,0.77,0.77,2,0.423136,HD 252319,92.3212513987,24.3380409632,0.0,0.0,90.0,20.0,06 09 17.10034,+24 20 16.9475,A,2020yCat.1350....0G,Star,*  |IR,,,,,G5,,1.3411,0.0241,2.337,-2.819,0.027,0.02,90,,,,9.554,9.397,9.281,8.91,8.89,8.85,,,,,
Cl* NGC 2168 Hoag 7,92.32125,24.3380278,,LM-STAR,A0V,1965ApJS...12..215H,0.430834,2CXO J060917.0+242017,92.3211251,24.3380649,0.77,0.77,2,0.423136,HD 252319,92.3212513987,24.3380409632,0.0,0.0,90.0,20.0,06 09 17.10034,+24 20 16.9475,A,2020yCat.1350....0G,Star,*  |IR,,,,,G5,,1.3411,0.0241,2.337,-2.819,0.027,0.02,90,,,,9.554,9.397,9.281,8.91,8.89,8.85,,,,,
HD 254577,94.476625,22.4091389,,HM-STAR,B0.5II-IIIk,1955ApJ...121...24C,0.603965,2CXO J061754.3+222432,94.4765158,22.4090049,0.881,0.881,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS V +22 42,94.476625,22.4091389,,HM-STAR,OB,1965LS....C05....0H,0.603965,2CXO J061754.3+222432,94.4765158,22.4090049,0.881,0.881,2,0.609243,HD 254577,94.4766045759,22.4091529013,0.0,0.0,90.0,44.0,06 17 54.38510,+22 24 32.9504,A,2020yCat.1350....0G,Star,*  |IR,18.0,10.0,6e-05,3.34e-05,B0.5II-III,,0.5513,0.0175,4.303,-1.464,0.019,0.014,90,,,,9.87,9.06,,7.231,6.965,6.823,,,,,
HD 254577,94.476625,22.4091389,,HM-STAR,OB,1955BOTT....2m...5G,0.603965,2CXO J061754.3+222432,94.4765158,22.4090049,0.881,0.881,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V616 Mon,95.685,-0.345833,1.0,LMXB,XT,2003A&A...404..301R,2.166528,2CXO J062244.5-002044,95.6855714,-0.345644,0.71,2.122286502807762,2,0.083554,1A 0620-00,95.6855932739,-0.345636239,0.0,0.0,90.0,1070.0,06 22 44.54239,-00 20 44.2905,A,2020yCat.1350....0G,HMXB,*  |BH?|HXB|LXB|No*|Rad|SB*|V* |X  |XB*|gam,-5.0,,-1.67e-05,,K3V-K7V,,0.6969,0.1168,-0.439,-5.138,0.108,0.096,90,,,,11.4,11.2,,,,,,,,,
NGC 2244 +04 157,97.9955417,4.92775,,YSO,B0V,1985CBVMS.C......0V,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,0.889646,LS  VI +04   10,97.9955763569,4.927689426,0.001,0.001,90.0,33.0,06 31 58.93833,+04 55 39.6819,C,2018yCat.1345....0G,YSO,*  |** |IR |X  |Y*O,33.0,5.0,0.0001101,1.67e-05,B1.5V,,,,-1.2,-0.2,2.7,2.7,90,,,,10.77,10.73,10.31,,9.77,9.74,,,,,
J063158.95+045540.1,97.9955417,4.92775,,YSO,B1.5V,1995ApJ...454..151M,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,0.889646,LS  VI +04   10,97.9955763569,4.927689426,0.001,0.001,90.0,33.0,06 31 58.93833,+04 55 39.6819,C,2018yCat.1345....0G,YSO,*  |** |IR |X  |Y*O,33.0,5.0,0.0001101,1.67e-05,B1.5V,,,,-1.2,-0.2,2.7,2.7,90,,,,10.77,10.73,10.31,,9.77,9.74,,,,,
NGC 2244 193,97.9955417,4.92775,,YSO,B2V,1987PASP...99.1050P,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,0.889646,LS  VI +04   10,97.9955763569,4.927689426,0.001,0.001,90.0,33.0,06 31 58.93833,+04 55 39.6819,C,2018yCat.1345....0G,YSO,*  |** |IR |X  |Y*O,33.0,5.0,0.0001101,1.67e-05,B1.5V,,,,-1.2,-0.2,2.7,2.7,90,,,,10.77,10.73,10.31,,9.77,9.74,,,,,
LS VI +04 10,97.9955417,4.92775,,YSO,OB,1965LS....C06....0N,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,0.889646,LS  VI +04   10,97.9955763569,4.927689426,0.001,0.001,90.0,33.0,06 31 58.93833,+04 55 39.6819,C,2018yCat.1345....0G,YSO,*  |** |IR |X  |Y*O,33.0,5.0,0.0001101,1.67e-05,B1.5V,,,,-1.2,-0.2,2.7,2.7,90,,,,10.77,10.73,10.31,,9.77,9.74,,,,,
Cl* NGC 2244 John 14,97.9955417,4.92775,,HM-STAR,B2V,1965ApJ...142..974M,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 2244 John 14,97.9955417,4.92775,,HM-STAR,B3V,1962ApJ...136.1135J,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 2244 John 14,97.9955417,4.92775,,YSO,B3,1932LicOB..16...53H,0.639566,2CXO J063158.9+045540,97.9954384,4.9278948,0.781,0.781,2,0.889646,LS  VI +04   10,97.9955763569,4.927689426,0.001,0.001,90.0,33.0,06 31 58.93833,+04 55 39.6819,C,2018yCat.1345....0G,YSO,*  |** |IR |X  |Y*O,33.0,5.0,0.0001101,1.67e-05,B1.5V,,,,-1.2,-0.2,2.7,2.7,90,,,,10.77,10.73,10.31,,9.77,9.74,,,,,
NGC  2264    51,100.11910889,9.59656806,,YSO,Md_d,2020AJ....160..120J,0.49775,2CXO J064028.5+093547,100.1189687,9.5965728,0.771,0.771,2,0.435197,NGC  2264    51,100.1190913035,9.5965729856,0.0,0.0,90.0,38.0,06 40 28.58191,+09 35 47.6627,A,2020yCat.1350....0G,TTau*,*  |IR |Or*|Pu*|TT*|V* |X  |Y*O,17.74,0.19,5.92e-05,6e-07,M1V,,1.3924,0.0363,-1.63,-3.932,0.041,0.037,90,,,,17.45,15.96,15.05,12.79,12.071,11.852,19.467,16.91,15.561,14.726,14.197
V* V336 Mon,100.15609389,9.92257806,,YSO,Md_a,2020AJ....160..120J,0.272837,2CXO J064037.4+095521,100.1560381,9.9226302,0.826,0.826,2,0.27085,V* V336 Mon,100.1560916027,9.9225765072,0.0,0.0,90.0,29.0,06 40 37.46198,+09 55 21.2754,A,2020yCat.1350....0G,Orion_V*,*  |IR |Or*|TT*|V* |X  |Y*O,21.46,0.15,7.16e-05,5e-07,K7.4,,1.4354,0.0378,-1.595,-3.623,0.042,0.034,90,,,,17.63,16.27,15.43,13.532,12.811,12.655,19.561,17.002,15.767,16.608,14.781
NGC 2264 116,100.2240417,9.5108333,,LM-STAR,F7V,1978PASP...90..144Y,0.306235,2CXO J064053.7+093038,100.2239711,9.5107844,0.716,0.716,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2264 116,100.2240417,9.5108333,,YSO,F5III/IV,1956ApJS....2..365W,0.306235,2CXO J064053.7+093038,100.2239711,9.5107844,0.716,0.716,2,0.298036,NGC  2264   116,100.2240433551,9.5108265375,0.0,0.0,90.0,36.0,06 40 53.77041,+09 30 38.9755,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|X  |Y*O,23.31,0.52,7.78e-05,1.7e-06,F7V,,1.3543,0.0189,-2.283,-3.707,0.021,0.017,90,,,,12.27,11.633,11.45,10.61,10.343,10.247,14.268,14.97,11.574,11.461,11.716
[K72c] 470,100.2240417,9.5108333,,YSO,F0/2,1972A&AS....7...35K,0.306235,2CXO J064053.7+093038,100.2239711,9.5107844,0.716,0.716,2,0.298036,NGC  2264   116,100.2240433551,9.5108265375,0.0,0.0,90.0,36.0,06 40 53.77041,+09 30 38.9755,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|X  |Y*O,23.31,0.52,7.78e-05,1.7e-06,F7V,,1.3543,0.0189,-2.283,-3.707,0.021,0.017,90,,,,12.27,11.633,11.45,10.61,10.343,10.247,14.268,14.97,11.574,11.461,11.716
NGC  2264   116,100.224065,9.51083111,,YSO,Fd_c,2020AJ....160..120J,0.373342,2CXO J064053.7+093038,100.2239711,9.5107844,0.716,0.716,2,0.298036,NGC  2264   116,100.2240433551,9.5108265375,0.0,0.0,90.0,36.0,06 40 53.77041,+09 30 38.9755,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|X  |Y*O,23.31,0.52,7.78e-05,1.7e-06,F7V,,1.3543,0.0189,-2.283,-3.707,0.021,0.017,90,,,,12.27,11.633,11.45,10.61,10.343,10.247,14.268,14.97,11.574,11.461,11.716
NGC 2264 +09 233,100.2437917,9.5588056,,HM-STAR,B8V,1985CBVMS.C......0V,0.295474,2CXO J064058.4+093331,100.2437087,9.5588115,0.71,0.71,2,0.295309,CXOANC J064058.5+093331,100.2437916667,9.5588055556,,,172.0,1.0,06 40 58.51,+09 33 31.7,D,2011AJ....141..201M,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2264 132,100.2437917,9.5588056,,HM-STAR,B8V,1978PASP...90..144Y,0.295474,2CXO J064058.4+093331,100.2437087,9.5588115,0.71,0.71,2,0.295309,CXOANC J064058.5+093331,100.2437916667,9.5588055556,,,172.0,1.0,06 40 58.51,+09 33 31.7,D,2011AJ....141..201M,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2264 132,100.2437917,9.5588056,,HM-STAR,B8V,2001A&A...373..625P,0.295474,2CXO J064058.4+093331,100.2437087,9.5588115,0.71,0.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 2264 Vas 91,100.2437917,9.5588056,,HM-STAR,B8V,1987PASP...99.1050P,0.295474,2CXO J064058.4+093331,100.2437087,9.5588115,0.71,0.71,2,0.295309,CXOANC J064058.5+093331,100.2437916667,9.5588055556,,,172.0,1.0,06 40 58.51,+09 33 31.7,D,2011AJ....141..201M,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
[K72c] 467,100.2437917,9.5588056,,LM-STAR,A0/1,1972A&AS....7...35K,0.295474,2CXO J064058.4+093331,100.2437087,9.5588115,0.71,0.71,2,0.295309,CXOANC J064058.5+093331,100.2437916667,9.5588055556,,,172.0,1.0,06 40 58.51,+09 33 31.7,D,2011AJ....141..201M,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 2264 RMS 3323,100.24725,9.9222778,,YSO,G6,2002AJ....123.1528R,0.324286,2CXO J064059.3+095520,100.2472734,9.9223649,0.737,0.737,2,0.349547,NGC  2264   134,100.247265141,9.9222681449,0.0,0.0,90.0,54.0,06 40 59.34363,+09 55 20.1653,A,2020yCat.1350....0G,TTau*,*  |** |Em*|IR |TT*|V* |X  |Y*O,5.0,0.15,1.67e-05,5e-07,G5V,,1.3941,0.0144,-1.766,-3.604,0.015,0.012,90,,,,13.22,12.38,11.908,10.653,10.064,9.701,,,,,
Cl* NGC 2264 Vas 92,100.24725,9.9222778,,YSO,G5,2007A&A...469..713M,0.324286,2CXO J064059.3+095520,100.2472734,9.9223649,0.737,0.737,2,0.349547,NGC  2264   134,100.247265141,9.9222681449,0.0,0.0,90.0,54.0,06 40 59.34363,+09 55 20.1653,A,2020yCat.1350....0G,TTau*,*  |** |Em*|IR |TT*|V* |X  |Y*O,5.0,0.15,1.67e-05,5e-07,G5V,,1.3941,0.0144,-1.766,-3.604,0.015,0.012,90,,,,13.22,12.38,11.908,10.653,10.064,9.701,,,,,
Cl* NGC 2264 RMS 3538,100.2775,9.5958889,,YSO,G5,2002AJ....123.1528R,0.419166,2CXO J064106.5+093545,100.2773836,9.5958695,0.765,0.765,2,0.274592,NGC  2264   167,100.2774607421,9.5958751958,0.0,0.0,90.0,23.0,06 41 06.59058,+09 35 45.1507,A,2020yCat.1350....0G,TTau*,*  |IR |TT*|X  |Y*O,48.44,0.197,0.0001616,7e-07,G5,,1.6955,0.0176,-4.429,-8.508,0.021,0.017,90,,,,14.98,14.09,13.76,12.813,12.499,12.441,16.078,14.444,13.922,13.73,
NGC 2264 187,100.3039167,9.5971944,,HM-STAR,B8,1956ApJS....2..365W,0.180439,2CXO J064112.9+093549,100.3038739,9.5972214,0.794,0.794,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl* NGC 2264 Vas 138,100.3039167,9.5971944,,YSO,B8V,1987PASP...99.1050P,0.180439,2CXO J064112.9+093549,100.3038739,9.5972214,0.794,0.794,2,0.1146,HD 262013,100.3038967356,9.5971988968,0.0,0.0,90.0,48.0,06 41 12.93522,+09 35 49.9160,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,2.3,2.0,7.7e-06,6.7e-06,,,1.3346,0.0354,-2.296,-3.698,0.042,0.035,90,,,,9.15,9.21,,9.366,9.397,9.376,,,,,
NGC 2264 +09 248,100.3039167,9.5971944,,YSO,B8V,1985CBVMS.C......0V,0.180439,2CXO J064112.9+093549,100.3038739,9.5972214,0.794,0.794,2,0.1146,HD 262013,100.3038967356,9.5971988968,0.0,0.0,90.0,48.0,06 41 12.93522,+09 35 49.9160,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,2.3,2.0,7.7e-06,6.7e-06,,,1.3346,0.0354,-2.296,-3.698,0.042,0.035,90,,,,9.15,9.21,,9.366,9.397,9.376,,,,,
NGC 2264 187,100.3039167,9.5971944,,YSO,B8V,1978PASP...90..144Y,0.180439,2CXO J064112.9+093549,100.3038739,9.5972214,0.794,0.794,2,0.1146,HD 262013,100.3038967356,9.5971988968,0.0,0.0,90.0,48.0,06 41 12.93522,+09 35 49.9160,A,2020yCat.1350....0G,YSO,*  |IR |X  |Y*O,2.3,2.0,7.7e-06,6.7e-06,,,1.3346,0.0354,-2.296,-3.698,0.042,0.035,90,,,,9.15,9.21,,9.366,9.397,9.376,,,,,
NGC 2264 187,100.3039167,9.5971944,,HM-STAR,B9V,2001A&A...373..625P,0.180439,2CXO J064112.9+093549,100.3038739,9.5972214,0.794,0.794,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
