name,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,ra,dec,r0,r1,PA,PU,nbref,coo_bibcode,rare-type,remove_regions,GLAT,GLON,comment
2CXO J053506.5-052501,,83.7772917,-5.4170556,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.109751,83.7772638,-5.4170682,0.718,0.715,49.83,0.718,,,4,,209.0168940709985,-19.43313714929372,
2CXO J053506.5-052650,,83.777375,-5.4475,,YSO,D;*|**|Em*|IR|NIR|TT?|X|Y*O,2012AJ....144..192M;SIMBAD,0.393242,83.7774841,-5.447488,0.733,0.724,31.18,0.733,,,4,,209.0457719375575,-19.446696426385262,
2CXO J053506.6-052244,,83.77775,-5.3789444,,YSO,P;*|IR|NIR|Rad|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.217536,83.7777599,-5.379004,0.717,0.715,65.06,0.717,,,4,,208.981134656416,-19.415478840311792,
2CXO J053506.7-045002,,83.77825,-4.8338333,,YSO,P;*|IR|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.294876,83.778205,-4.8339019,0.951,0.93,107.3,0.951,,,4,,208.46669406089345,-19.16774091523269,
2CXO J053506.9-052600,,83.77875,-5.4334167,,YSO,D;*|Em*|IR|ISM|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.396712,83.7787911,-5.433519,0.803,0.759,43.98,0.803,,,4,,209.03318258429903,-19.439220121702725,
2CXO J053507.0-052500,[HC2000] 64,83.779375,-5.4168056,,LM-STAR,M7/9;*|IR|Rad|X,2004ApJ...610.1045S;SIMBAD,0.06802,83.7793915,-5.416815,0.733,0.723,41.01,0.733,,,4,,209.01767040661397,-19.431133431824158,
2CXO J053507.2-052226,,83.7801667,-5.3739722,,YSO,D;*|**|?|Em*|IR|ISM|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.443326,83.7802822,-5.3740162,0.711,0.71,62.21,0.711,,,4,,208.9776230851224,-19.410982681077385,
2CXO J053507.3-052548,,83.7807917,-5.4299722,,YSO,D;*|IR|Ir*|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.305406,83.7808166,-5.4300533,0.777,0.725,35.05,0.777,,,4,,209.03087144614807,-19.43585454344549,
2CXO J053507.5-051950,,83.781375,-5.3306111,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.223689,83.7813256,-5.3305731,0.764,0.751,85.3,0.764,,,4,,208.93704965371435,-19.390395827533705,
2CXO J053507.7-052101,,83.7821667,-5.3504444,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.335957,83.7822095,-5.3503614,0.711,0.711,52.98,0.711,,,4,,208.95617883425413,-19.39856752491744,
2CXO J053507.9-052117,,83.7830833,-5.3548333,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.3842,83.7831094,-5.3547298,0.713,0.712,95.17,0.713,,,4,,208.9607386478102,-19.39974548570719,
2CXO J053508.0-053244,,83.7834167,-5.5456389,,YSO,D;*|Em*|IR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.184226,83.7834631,-5.5456168,0.777,0.747,11.83,0.777,,,4,,209.1414715798317,-19.485726672792783,
2CXO J053508.2-051936,,83.7845417,-5.3269444,,YSO,D;*|IR|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.106797,83.7845712,-5.3269399,0.719,0.717,96.23,0.719,,,4,,208.93516602561155,-19.38586966437562,
2CXO J053508.2-052046,,83.7842083,-5.3463056,,YSO,D;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.163931,83.7842326,-5.3463442,0.855,0.766,83.92,0.855,,,4,,208.95334750180857,-19.39495324713275,
2CXO J053508.2-052434,,83.7845,-5.4096667,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.234396,83.7845652,-5.4096617,0.712,0.71,14.61,0.712,,,4,,209.01337533741923,-19.423304519252174,
2CXO J053508.2-053704,,83.7841667,-5.6179167,,YSO,D;*|Em*|IR|NIR|Or*|Pu*|Rad|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.592288,83.784278,-5.6180384,0.729,0.715,18.06,0.729,,,4,,209.2104152369441,-19.517696121355325,
2CXO J053508.3-051913,,83.7845833,-5.3205278,,YSO,D;*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.307356,83.7846657,-5.3205042,0.823,0.76,100.4,0.823,,,4,,208.9291278358988,-19.38287237179233,
2CXO J053508.3-052756,,83.78475,-5.4657222,,YSO,D;*|Em*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.386048,83.7847942,-5.46582,0.711,0.71,34.04,0.711,,,4,,209.06660193676083,-19.448492304745923,
2CXO J053508.3-052829,,83.784875,-5.4748056,,YSO,D;*|Em*|G|IR|NIR|Or*|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.277515,83.7849524,-5.474806,0.731,0.717,157.1,0.731,,,4,,209.07517835879165,-19.45241327532392,
2CXO J053508.4-052119,,83.7850833,-5.3555833,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.60989,83.7850662,-5.3554147,0.772,0.76,40.86,0.772,,,4,,208.96232089557063,-19.39831808141777,
2CXO J053508.4-052230,[HC2000] 454,83.7850833,-5.3750833,,LM-STAR,M2V;*|IR|Rad|X,2004ApJ...610.1045S;SIMBAD,0.263211,83.7850401,-5.3750241,0.714,0.711,86.27,0.714,,,4,,208.9808484503049,-19.40721430001264,
2CXO J053508.5-052517,,83.7855,-5.4215833,,YSO,D;*|Em*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.306457,83.7855529,-5.4216502,0.719,0.713,16.91,0.719,,,4,,209.0251847663853,-19.427849237602175,
2CXO J053508.5-052619,,83.7858333,-5.4387222,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.058354,83.785821,-5.4387116,0.724,0.715,55.08,0.724,,,4,,209.0414494955356,-19.435325851963263,
2CXO J053508.6-044652,,83.7862083,-4.7811389,,YSO,D;*|Em*|IR|NIR|Or*|V*|X|Y*O|ev,2012AJ....144..192M;SIMBAD,0.462229,83.7862041,-4.7812672,0.771,0.754,156.5,0.771,,,4,,208.42092352337144,-19.136684572295625,
2CXO J053508.8-053149,,83.786875,-5.5302222,,YSO,D;*|Em*|IR|NIR|Or*|Rad|TT?|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.408674,83.7869594,-5.5302986,0.722,0.717,37.35,0.722,,,4,,209.1286419576326,-19.47570348660131,
2CXO J053508.9-051933,,83.787125,-5.3258611,,YSO,D;*|IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.319873,83.7872043,-5.3259018,0.846,0.793,90.23,0.846,,,4,,208.93544287237535,-19.383062010500527,
2CXO J053509.2-053058,,83.788375,-5.5162222,,YSO,D;*|Em*|IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.258904,83.7884252,-5.5162739,0.722,0.713,7.558,0.722,,,4,,209.11606960115552,-19.46806669648449,
2CXO J053509.3-052141,,83.7889167,-5.3615833,,YSO,D;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.329589,83.7888855,-5.3614972,0.711,0.71,88.38,0.711,,,4,,208.96989573963063,-19.397679545165225,
2CXO J053509.4-052748,,83.7895417,-5.4634444,,YSO,D;*|IR|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.541728,83.7895555,-5.4635943,0.713,0.711,21.28,0.713,,,4,,209.0667683953018,-19.44325842653542,
2CXO J053509.5-052822,,83.7899167,-5.4730556,,YSO,D;*|Em*|G|IR|NIR|Or*|Rad|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.230364,83.7899513,-5.4730017,0.779,0.722,9.267,0.779,,,4,,209.07585652396497,-19.447158925512092,
2CXO J053509.6-052355,,83.7902917,-5.3988333,,YSO,D;*|IR|Ir*|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.075987,83.7903066,-5.3988484,0.71,0.71,32.23,0.71,,,4,,209.0058908268113,-19.413315897326928,
2CXO J053509.6-052623,,83.7902083,-5.43975,,YSO,D;*|IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.212528,83.7902034,-5.4398088,0.718,0.718,0.0,0.718,,,4,,209.0445789056365,-19.431930619485662,
2CXO J053509.7-052550,,83.7907083,-5.4305833,,YSO,D;*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.357196,83.7908074,-5.4305724,0.874,0.777,28.9,0.874,,,4,,209.03613131831213,-19.427218146201305,
2CXO J053509.8-051933,,83.791,-5.3261389,,YSO,D;*|Em*|IR|NIR|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.403991,83.7910202,-5.3260285,0.711,0.711,94.31,0.711,,,4,,208.93738586899028,-19.37973151340061,
2CXO J053510.0-052401,,83.7917083,-5.4005,,YSO,D;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.189948,83.7917552,-5.4005246,0.736,0.728,77.14,0.736,,,4,,209.0081675118798,-19.41278785440076,
2CXO J053510.1-051931,,83.7922917,-5.3254722,,YSO,D;IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.215407,83.792316,-5.3254175,0.728,0.721,85.17,0.728,,,4,,208.9374274564028,-19.37830448363896,
2CXO J053510.1-052020,,83.7923333,-5.3391111,,YSO,D;*|Em*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.384011,83.7924404,-5.3391077,0.732,0.727,87.76,0.732,,,4,,208.95042767412264,-19.384390809513825,
2CXO J053510.1-052232,,83.7922917,-5.3756389,,YSO,D;*|Em*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.255698,83.7922331,-5.3756795,0.723,0.721,53.4,0.723,,,4,,208.98490331875564,-19.401124342139934,
2CXO J053510.2-051833,,83.7925417,-5.3093333,,YSO,D;*|IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.08732,83.7925207,-5.3093209,0.833,0.792,127.1,0.833,,,4,,208.92231107408077,-19.37083556563395,
2CXO J053510.2-051955,,83.792875,-5.33225,,YSO,D;*|Em*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.143824,83.7928501,-5.3322187,0.741,0.733,82.08,0.741,,,4,,208.94411140112408,-19.38090892188428,
2CXO J053510.2-052316,,83.7927083,-5.3876389,,YSO,P;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.703268,83.7927346,-5.3878325,0.724,0.719,74.65,0.724,,,4,,208.996633688326,-19.406177098241425,
2CXO J053510.2-052321,,83.7925417,-5.3893333,,YSO,D;*|IR|NIR|Rad|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.185345,83.7925332,-5.3892825,0.71,0.71,10.68,0.71,,,4,,208.9979085732064,-19.40701185239333,
2CXO J053510.3-052112,,83.7929583,-5.3535833,,YSO,D;*|Em*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.14319,83.7929669,-5.3535444,0.714,0.714,34.53,0.714,,,4,,208.96432664481375,-19.39045703184824,
2CXO J053510.3-054633,,83.7930417,-5.7759444,,YSO,D;*|Em*|Er*|IR|NIR|Or*|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.583844,83.79308,-5.776102,0.725,0.715,125.5,0.725,,,4,,209.36432349656533,-19.58114210232898,
2CXO J053510.4-052600,,83.7936667,-5.4333611,,YSO,D;*|IR|Ir*|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.198516,83.7936419,-5.4334104,0.714,0.711,19.86,0.714,,,4,,209.04016835605523,-19.42598451543616,
2CXO J053510.5-052156,,83.7940417,-5.3656389,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.265736,83.7940798,-5.3655756,0.71,0.71,89.5,0.71,,,4,,208.9762324598291,-19.394913150543022,
2CXO J053510.5-052416,,83.7939167,-5.4045833,,YSO,P;*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.077036,83.7939294,-5.4046005,0.713,0.712,42.02,0.713,,,4,,209.01305982407985,-19.412700897466497,
2CXO J053510.6-052255,,83.79425,-5.3822222,,YSO,D;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.187168,83.794199,-5.3822109,0.71,0.71,68.12,0.71,,,4,,208.99201755675347,-19.40233375399205,
2CXO J053510.8-052240,[FKP2021] 48,83.7952083,-5.378,,LM-STAR,M6;*|IR|Rad|V*|X,2021ApJ...908...49F;SIMBAD,0.257859,83.7951717,-5.3779383,0.772,0.754,107.7,0.772,,,4,,208.98844230778764,-19.39953715613901,
2CXO J053510.8-052556,,83.7950833,-5.4324444,,YSO,D;*|IR|Ir*|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.31408,83.7951709,-5.4324425,0.734,0.719,43.47,0.734,,,4,,209.0399827068841,-19.42418922699637,
2CXO J053510.9-051521,,83.79575,-5.2559444,,YSO,D;IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.236108,83.7957735,-5.2560057,0.888,0.742,94.24,0.888,,,4,,208.8734834934733,-19.343802234930507,
2CXO J053510.9-052224,[FKP2021] 52,83.7957917,-5.3735556,,LM-STAR,M4.5;*|IR|Rad|V*|X,2021ApJ...908...49F;SIMBAD,0.297386,83.7957394,-5.3734915,0.711,0.71,170.0,0.711,,,4,,208.9845090809235,-19.39702125249533,
2CXO J053510.9-052448,,83.795625,-5.4134167,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.24088,83.7955991,-5.4134784,0.71,0.71,40.72,0.71,,,4,,209.0222523317917,-19.415233516747005,
2CXO J053511.1-052237,,83.796625,-5.3771667,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.236616,83.7966298,-5.3771011,0.71,0.71,5.073,0.71,,,4,,208.98834704778784,-19.39786377247414,
2CXO J053511.2-051720,,83.7966667,-5.2890833,,YSO,D;*|Em*|IR|Ir*|NIR|Or*|SB*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.236446,83.7966895,-5.2890217,0.711,0.711,0.0,0.711,,,4,,208.90511908764427,-19.357942983108167,
2CXO J053511.3-052438,,83.7970833,-5.4106389,,YSO,P;*|IR|NIR|Rad|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.312613,83.7971502,-5.4105832,0.72,0.718,33.12,0.72,,,4,,209.0202549143626,-19.412546919131664,
2CXO J053511.5-052552,,83.798,-5.4313889,,YSO,D;IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.148761,83.7980306,-5.431361,0.859,0.786,17.05,0.859,,,4,,209.04032474916644,-19.42116099512286,
2CXO J053511.6-052421,,83.7984583,-5.4059167,,YSO,D;*|IR|NIR|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.418483,83.7985735,-5.4059359,0.725,0.722,32.29,0.725,,,4,,209.0165397387985,-19.409181337118014,
2CXO J053511.6-052608,,83.7986667,-5.4356667,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.29825,83.7986048,-5.4357221,0.711,0.711,53.55,0.711,,,4,,209.04472336892235,-19.42262297660208,
2CXO J053511.6-053101,,83.798625,-5.5169722,,YSO,D;*|Em*|IR|NIR|SB*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.194077,83.7985758,-5.5169948,0.934,0.856,62.69,0.934,,,4,,209.12159256029395,-19.459378440795547,
2CXO J053511.7-051834,,83.7990833,-5.3096944,,YSO,D;*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.510714,83.7990545,-5.3095555,0.827,0.814,149.7,0.827,,,4,,208.9256549813984,-19.365140998279315,
2CXO J053511.7-052730,,83.7990833,-5.4585833,,YSO,D;*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.232321,83.7991354,-5.4585449,0.748,0.748,0.0,0.748,,,4,,209.06656313342677,-19.43246943970952,
2CXO J053511.8-051925,,83.7994167,-5.3238889,,YSO,D;*|Em*|IR|Ir*|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.310496,83.7995025,-5.3238769,0.711,0.71,92.05,0.711,,,4,,208.93940484584667,-19.371226720559477,
2CXO J053511.8-052001,,83.7994583,-5.3339167,,YSO,D;*|IR|NIR|V*|X|Y*O|mm,2012AJ....144..192M;SIMBAD,0.440088,83.7995303,-5.3338177,0.725,0.714,86.91,0.725,,,4,,208.94881425287076,-19.375701764939425,
2CXO J053511.8-052100,,83.7993333,-5.3500833,,YSO,P;*|IR|NIR|Rad|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.248896,83.7993501,-5.3500162,0.711,0.711,0.0,0.711,,,4,,208.96404024612625,-19.383193011387814,
2CXO J053511.8-052103,,83.7994583,-5.3507778,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.455175,83.799501,-5.3508969,0.71,0.71,108.5,0.71,,,4,,208.9649448684974,-19.38345759210974,
2CXO J053511.8-053155,,83.7994583,-5.5318889,,YSO,D;*|Em*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.689788,83.7995249,-5.5320687,0.714,0.713,38.25,0.714,,,4,,209.1363086600684,-19.465344418456155,
2CXO J053511.9-052032,,83.7997917,-5.3424722,,YSO,D;*|IR|NIR|Or*|V*|X|Y*?|Y*O|mm,2012AJ....144..192M;SIMBAD,0.20235,83.7998441,-5.3424514,0.71,0.71,0.0,0.71,,,4,,208.9571252148589,-19.37933083132909,
2CXO J053511.9-052253,,83.7998333,-5.3816111,,YSO,D;*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.19924,83.7998614,-5.3816588,0.715,0.713,84.6,0.715,,,4,,208.99419941231213,-19.397056421336828,
2CXO J053511.9-052844,,83.79975,-5.4791944,,YSO,D;*|IR|NIR|X|Y*O,2012AJ....144..192M;SIMBAD,0.293458,83.7998247,-5.4791609,0.766,0.722,9.987,0.766,,,4,,209.08639359391876,-19.44117512517876,
2CXO J053511.9-052932,,83.7997083,-5.4923889,,YSO,D;*|IR|Ir*|NIR|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.322477,83.7997981,-5.4923838,0.871,0.803,14.26,0.871,,,4,,209.09889019467232,-19.447173968287306,
2CXO J053512.0-052808,,83.800125,-5.4690278,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.42316,83.8002041,-5.4689405,0.917,0.917,0.0,0.917,,,4,,209.076906408998,-19.43621920100097,
2CXO J053512.1-052433,,83.8005,-5.4093889,,YSO,P;*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.165369,83.8005435,-5.4093737,0.735,0.727,72.38,0.735,,,4,,209.02073104550792,-19.408986952781504,
2CXO J053512.1-052456,,83.8007917,-5.4156944,,YSO,D;*|IR|NIR|Rad|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.238572,83.8008242,-5.4156366,0.711,0.711,33.4,0.711,,,4,,209.02678750419804,-19.41157006296409,
2CXO J053512.1-053020,,83.8006667,-5.5055556,,YSO,D;*|Em*|IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.592046,83.8006414,-5.5057181,0.93,0.93,0.0,0.93,,,4,,209.11190799826213,-19.452449803308568,
2CXO J053512.2-052044,,83.801125,-5.3458611,,YSO,D;*|**|Em*|IR|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.238116,83.8010948,-5.3458022,0.711,0.71,99.39,0.711,,,4,,208.9608900994968,-19.379736892391143,
2CXO J053512.2-052347,,83.801125,-5.3967222,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.280978,83.8011501,-5.3966483,0.71,0.71,69.16,0.71,,,4,,209.00898760281453,-19.402692792928065,
2CXO J053512.2-053032,,83.8007917,-5.5091389,,YSO,D;*|Em*|IR|NIR|Or*|TT?|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.483369,83.8009239,-5.5091124,0.948,0.751,4.925,0.948,,,4,,209.1152542161975,-19.453732407539352,
2CXO J053512.3-054318,,83.8015417,-5.7217222,,YSO,D;*|Em*|IR|NIR|Or*|Rad|SB*|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.473911,83.8015678,-5.7218512,0.715,0.713,161.3,0.715,,,4,,209.3169629001396,-19.54915797812981,
2CXO J053512.5-051632,,83.80225,-5.2758611,,YSO,D;*|**|IR|NIR|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.297501,83.8022916,-5.2757896,0.72,0.719,151.6,0.72,,,4,,208.89529280897912,-19.34697698183868,
2CXO J053512.5-052344,,83.8024583,-5.3955,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.230638,83.8024902,-5.3955556,0.71,0.71,0.0,0.71,,,4,,209.0085942021797,-19.401008662987916,
2CXO J053512.6-051935,,83.8028333,-5.3265278,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.369984,83.8028404,-5.3264253,0.711,0.71,175.1,0.711,,,4,,208.9434082563028,-19.36941681240673,
2CXO J053512.7-052034,,83.8031667,-5.3430833,,YSO,D;*|IR|Ir*|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.397276,83.8031854,-5.3429745,0.711,0.711,72.55,0.711,,,4,,208.95921574742275,-19.376601009276605,
2CXO J053512.7-052710,,83.802875,-5.4528889,,YSO,D;*|**|Em*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.395851,83.802963,-5.4529554,0.717,0.714,20.93,0.717,,,4,,209.0631025641894,-19.426544053846644,
2CXO J053512.8-052043,,83.8034167,-5.3454444,,YSO,D;*|**|Em*|IR|NIR|Or*|Rad|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.3052,83.8033685,-5.3453745,0.711,0.71,5.989,0.711,,,4,,208.9615718589117,-19.377524620623618,
2CXO J053512.9-052457,[FKP2021] 63,83.8039583,-5.4160833,,LM-STAR,M5;*|IR|Rad|X,2021ApJ...908...49F;SIMBAD,0.227721,83.803962,-5.4160202,0.774,0.746,25.99,0.774,,,4,,209.02864804104945,-19.408957412543096,
2CXO J053513.0-053934,,83.804125,-5.6595833,,YSO,D;*|Em*|IR|NIR|Or*|Rad|TT*|TT?|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.48285,83.8042245,-5.6596737,0.918,0.747,88.05,0.918,,,4,,209.25933932730484,-19.518764156328427,
2CXO J053513.1-051730,,83.8048333,-5.2918056,,YSO,D;IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.165561,83.8048249,-5.2917604,0.748,0.714,92.32,0.748,,,4,,208.91159523057215,-19.35196060884838,
2CXO J053513.1-052452,[FKP2021] 67,83.8046667,-5.4147222,,LM-STAR,M6;*|IR|Rad|X,2021ApJ...908...49F;SIMBAD,0.345855,83.8047099,-5.4146363,0.762,0.736,28.38,0.762,,,4,,209.02769636518107,-19.40766750074688,
2CXO J053513.1-052455,,83.8049167,-5.4153889,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.242005,83.8049828,-5.415375,0.711,0.711,26.2,0.711,,,4,,209.02852517035436,-19.407759245885675,
2CXO J053513.2-052018,,83.8054167,-5.3386389,,YSO,D;*|IR|Ir*|NIR|Or*|V*|X|Y*?|Y*O|mm,2012AJ....144..192M;SIMBAD,0.442328,83.8054107,-5.3385162,0.711,0.711,178.1,0.711,,,4,,208.9560645164165,-19.372607502168933,
2CXO J053513.2-052052,,83.805125,-5.3478889,,YSO,D;*|IR|Ir*|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.372936,83.8050225,-5.3479067,0.711,0.711,92.44,0.711,,,4,,208.9647555280993,-19.377202084638867,
2CXO J053513.2-052753,,83.8051667,-5.4650556,,YSO,D;*|**|Em*|IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.59719,83.8050994,-5.4649039,0.714,0.714,0.0,0.714,,,4,,209.0754236483297,-19.430047865619446,
2CXO J053513.3-045145,,83.8055417,-4.8624444,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.278829,83.8055627,-4.862519,0.711,0.71,161.1,0.711,,,4,,208.50680269550125,-19.156486595609238,
2CXO J053513.3-052817,,83.80575,-5.4715,,YSO,D;IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.12565,83.8057664,-5.4715309,0.772,0.723,7.251,0.772,,,4,,209.08201043196004,-19.43245075702853,
2CXO J053513.4-052107,,83.805875,-5.3519444,,YSO,D;*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.264121,83.8059426,-5.3519735,0.712,0.711,92.01,0.712,,,4,,208.9690393058098,-19.378225569728148,
2CXO J053513.4-052340,,83.8058333,-5.3944444,,YSO,D;*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.664392,83.8060127,-5.3944907,0.71,0.71,2.472,0.71,,,4,,209.0092690335955,-19.397399345430188,
2CXO J053513.5-051745,,83.8064583,-5.2960833,,YSO,D;IR|NIR|Or*|V*|X|Y*?|Y*O,2012AJ....144..192M;SIMBAD,0.544656,83.8065059,-5.2959396,0.717,0.715,109.5,0.717,,,4,,208.91634788516075,-19.35236062747973,
2CXO J053513.5-051856,,83.8065417,-5.3158333,,YSO,D;*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.244716,83.8065368,-5.3157655,0.835,0.835,0.0,0.835,,,4,,208.93509922171685,-19.36130951490485,
2CXO J053513.5-052355,,83.8065833,-5.3985833,,YSO,D;*|IR|Mas|NIR|Rad|X|Y*O,2012AJ....144..192M;SIMBAD,0.269975,83.8065904,-5.398658,0.71,0.71,0.0,0.71,,,4,,209.01348515239945,-19.398771333426755,
2CXO J053513.5-052757,,83.8065,-5.4659722,,YSO,D;*|Em*|IR|NIR|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.309436,83.8065355,-5.4658939,0.744,0.734,46.77,0.744,,,4,,209.07704524074552,-19.429220105229728,
2CXO J053513.6-044258,,83.807125,-4.7163056,,YSO,D;*|Em*|IR|NIR|Or*|V*|X|Y*O,2012AJ....144..192M;SIMBAD,0.572622,83.8069781,-4.7163678,0.837,0.765,17.68,0.837,,,4,,208.36975512759375,-19.08869475302255,
