name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,S/N,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,remove_4,Gal_Long,Gal_Lat
2QZ J132106+0037,200.27625,0.620556,,AGN,Q,2010A&A...518A..10V,0.452158,2CXO J132106.3+003714,200.2763629,0.6206111,0.715,0.715,17.287,0,0.257538,[VV2006] J132106.3+003714,200.2763173701,0.6205559183,0.001,0.001,90.0,8.0,13 21 06.31617,+00 37 14.0013,A,2020yCat.1350....0G,QSO,*|QSO|X,164216.445,,0.85,,,,0.8614,1.05,-0.804,1.334,1.455,0.871,90,,,,20.61,,,,,,20.624,20.146,20.039,20.111,19.95,0,319.19417145043855,62.55192050893404
SDSS J13216+5117,200.409583,51.295278,,AGN,A,2010A&A...518A..10V,0.45827,2CXO J132138.3+511743,200.4097683,51.2953307,0.788,0.788,11.185,0,0.3594,2MASS J13213832+5117429,200.4096592095,51.2952578069,0.0,0.0,90.0,17.0,13 21 38.31821,+51 17 42.9281,A,2020yCat.1350....0G,QSO,*|AGN|IR|QSO|Rad|X,85861.967,11.992,0.34265,4e-05,,,,,-0.184,-0.212,0.143,0.174,90,,,,18.84,18.57,,16.625,15.613,15.394,18.511,18.426,18.309,18.313,17.854,0,111.65024899928702,65.16628083960187
SDSS J13224+4226,200.601667,42.445278,,AGN,A,2010A&A...518A..10V,0.486,2CXO J132224.4+422643,200.6017818,42.4453831,0.744,0.744,5.143,0,0.231174,SDSS J132224.40+422643.3,200.6017032345,42.4453554875,0.0,0.0,90.0,6.0,13 22 24.40878,+42 26 43.2798,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|Sy1,21413.105,260.819,0.07417,0.00087,,,0.2744,0.3804,-0.46,0.272,0.304,0.377,90,,,,18.06,17.57,,,,,18.914,17.753,17.247,16.817,16.682,0,102.52634503142832,73.43393880421137
Q 1320-0006,200.849167,-0.365278,,AGN,Q,2010A&A...518A..10V,0.340064,2CXO J132323.7-002155,200.849092,-0.3653354,0.727,0.727,10.313,0,0.08416,LBQS 1320-0006,200.8491129444,-0.3653457858,0.0,0.0,90.0,79.0,13 23 23.78711,-00 21 55.2448,A,2020yCat.1350....0G,QSO,*|IR|QSO,210463.497,,1.39,,,,,,-0.068,-0.001,0.163,0.107,90,,,,18.7,18.22,,16.518,15.593,15.213,18.997,18.47,17.904,17.673,17.576,0,319.84060957307037,61.452809718495246
SDSS J13251+6520,201.27875,65.338333,,AGN,Q,2010A&A...518A..10V,0.662326,2CXO J132506.8+652018,201.2784973,65.3384838,0.831,0.831,9.315,0,0.173466,[VV2006] J132506.9+652018,201.278547187,65.3385272567,0.0,0.0,90.0,19.0,13 25 06.85132,+65 20 18.6981,A,2020yCat.1350....0G,QSO,*|QSO,255505.654,,2.541,,,,0.0386,0.3962,0.247,-0.436,0.536,0.405,90,,,,21.65,21.03,,,,,23.031,21.229,20.432,19.883,19.206,0,117.30989856136364,51.420594045464895
87GB 13227+1139,201.302083,11.391667,,AGN,Q,2010A&A...518A..10V,0.251776,2CXO J132512.5+112329,201.3021006,11.3915992,0.756,0.756,4.941,0,0.186517,[VV2006] J132512.5+112330,201.3020530695,11.3916218561,0.0,0.0,90.0,52.0,13 25 12.49274,+11 23 29.8387,A,2020yCat.1350....0G,QSO,*|Bla|Bz?|IR|QSO|Rad|X,280037.807,83.942,4.41771,0.00028,,,0.1946,0.4201,0.492,-0.041,0.509,0.203,90,,,,22.66,20.95,,19.02,18.56,18.63,26.444,22.004,19.394,19.197,18.855,0,331.31522155561674,72.37600976210268
4C 65.15,201.373333,65.253611,,AGN,Q,2010A&A...518A..10V,0.697425,2CXO J132529.7+651513,201.3737851,65.2536524,0.71,0.71,33.16,0,0.215273,4C 65.15,201.3737726792,65.2537119715,0.0,0.0,90.0,90.0,13 25 29.70544,+65 15 13.3631,A,2020yCat.1350....0G,QSO,*|G|IR|QSO|Rad|X,223956.916,,1.628,,,,,,0.081,0.056,0.104,0.1,90,,,,17.67,17.48,,16.164,15.342,15.577,17.466,17.35,17.242,17.093,17.09,0,117.21878295786318,51.495153313740474
NGC 5135,201.433333,-29.833889,,AGN,A,2010A&A...518A..10V,0.702869,2CXO J132543.9-295002,201.4331143,-29.833935,0.711,0.711,29.55,0,1.721918,NGC  5135,201.4335791667,-29.8336777778,,,172.0,457.0,13 25 44.059,-29 50 01.24,C,2006AJ....131.1163S,Seyfert_2,AGN|G|GiC|GiG|HI|IR|Rad|Sy2|UV|X|smm,4095.1,,0.0137544,,,Sa,,,,,,,,2.57,2.09,119,12.58,13.35,11.53,9.87,8.982,8.83,,,,,,0,311.74734391624,32.4501035054847
SDSS J13280+5731,202.005417,57.520278,,AGN,Q,2010A&A...518A..10V,0.621108,2CXO J132801.2+573112,202.0050967,57.5202644,0.716,0.716,9.239,0,0.12621,[VV2006] J132801.3+573113,202.0051619834,57.5202646838,0.0,0.0,90.0,25.0,13 28 01.23888,+57 31 12.9529,A,2020yCat.1350....0G,QSO,*|IR|QSO,242715.709,,2.083,,,,0.0186,0.057,0.047,0.046,0.053,0.062,90,,,,17.9,17.56,,15.933,15.786,14.847,17.67,17.4,17.1,17.016,16.862,0,113.41315441895917,58.92680296711022
Q 1325-0113,202.1425,-1.488056,,AGN,A,2010A&A...518A..10V,0.653147,2CXO J132834.1-012917,202.1423208,-1.4880846,0.712,0.712,24.77,0,0.564055,LBQS 1325-0113,202.142264397,-1.4882307852,0.0,0.0,90.0,23.0,13 28 34.14346,-01 29 17.6308,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|IR|QSO|Rad|Sy1|rG,41983.974,395.726,0.15139,0.00132,,,,,0.026,0.073,0.193,0.077,90,0.143,0.143,90,19.07,18.49,16.986,15.172,14.252,13.596,18.405,17.913,17.206,16.615,16.573,0,321.7580700440327,60.01945744868199
SDSS J13305-0038,202.62875,-0.645833,,AGN,Q,2010A&A...518A..10V,0.562387,2CXO J133030.9-003845,202.6289046,-0.6458552,0.728,0.728,11.829,0,0.82634,2QZ J133030.9-003844,202.6286773679,-0.645887762,0.0,0.0,90.0,4.0,13 30 30.88257,-00 38 45.1959,A,2020yCat.1350....0G,QSO,*|QSO,194614.256,,1.1681,,,,,,0.64,-0.926,0.522,0.446,90,,,,20.1,19.8,,,,,19.947,19.932,19.684,19.711,19.475,0,323.2039388344155,60.67859450623594
VIII Zw 318,202.633333,-0.603611,,AGN,A,2010A&A...518A..10V,0.71675,2CXO J133032.0-003613,202.6334281,-0.6037859,0.793,0.793,4.514,0,0.570593,Z  16-84,202.6332711271,-0.6038078976,0.001,0.001,90.0,26.0,13 30 31.98507,-00 36 13.7084,A,2020yCat.1350....0G,Seyfert_2,*|AGN|FIR|G|IR|LSB|Rad|Sy2|rG,15797.679,2.998,0.05416,1e-05,,Ir...,,,3.984,-1.604,1.055,0.649,90,0.317,0.222,130,18.58,18.28,,13.145,12.463,12.225,17.04,15.72,17.779,17.183,14.559,0,323.23925968157346,60.71721395271275
SDSS J13306-0033,202.654583,-0.555833,,AGN,Q,2010A&A...518A..10V,0.631187,2CXO J133037.1-003320,202.6547241,-0.555729,0.902,0.902,5.474,0,0.630891,2SLAQ J133037.10-003321.1,202.6545748918,-0.5558209274,0.084,0.053,90.0,3.0,13 30 37.09797,-00 33 20.9553,C,2020yCat.1350....0G,QSO,*|QSO,187906.823,,1.0878,,,,,,,,,,,,,,21.3,20.95,,,,,21.046,21.137,20.821,20.935,21.137,0,323.31110457383,60.75632362037685
SDSS J13310+4659,202.765417,46.995278,,AGN,Q,2010A&A...518A..10V,0.579222,2CXO J133103.7+465943,202.7655983,46.9953809,0.853,0.853,103.759,0,0.715161,[VV2006] J133103.7+465943,202.7653858401,46.9952450132,0.0,0.0,90.0,24.0,13 31 03.69260,+46 59 42.8820,A,2020yCat.1350....0G,QSO,*|AGN|QSO|Rad|UV|X,141753.77,0.0,0.6715,0.0,,,0.1043,0.1457,0.081,-0.073,0.119,0.147,90,,,,18.0,19.55,17.8,,,,19.758,19.111,19.291,19.244,19.146,0,104.12182203438958,68.65932592443444
SDSS J13321+6242,203.02875,62.700556,,AGN,A,2010A&A...518A..10V,0.620288,2CXO J133206.9+624202,203.0288055,62.7007264,0.722,0.722,6.645,0,0.19099,NGC  5216,203.0287983252,62.7006734493,0.001,0.001,90.0,117.0,13 32 06.91160,+62 42 02.4244,C,2020yCat.1350....0G,Seyfert_2,*|AGN|G|GiP|IG|LIN|Sy2,2907.5,45.6,0.0097459,0.0001521,,E0A,,,,,,,32767,0.773,0.742,40,16.8,16.14,,10.803,10.128,9.873,15.5,13.661,12.858,12.464,12.155,0,115.05130956048443,53.800735200645455
Q J1332+5034,203.097083,50.575278,,AGN,Q,2010A&A...518A..10V,0.807162,2CXO J133223.2+503431,203.0968428,50.5754423,0.817,0.817,9.851,0,0.28963,[VV2000] J133223.2+503432,203.0969158679,50.5753765777,0.0,0.0,90.0,34.0,13 32 23.25981,+50 34 31.3557,A,2020yCat.1350....0G,QSO,*|AGN|QSO|Rad|X,275167.051,,3.832,,,,0.0635,0.1398,-0.066,-0.135,0.12,0.13,90,,,,19.97,19.09,,,,,25.586,19.721,18.557,18.468,18.452,0,107.26810469472308,65.28917688559021
SDSS J13326+5021,203.15625,50.358056,,AGN,Q,2010A&A...518A..10V,0.559102,2CXO J133237.4+502129,203.1562171,50.3582099,0.797,0.797,15.306,0,0.210591,SDSS J133237.46+502129.6,203.156127528,50.3581973964,0.0,0.0,90.0,21.0,13 32 37.47061,+50 21 29.5106,A,2020yCat.1350....0G,QSO,*|QSO|Rad|X,240120.772,890.384,2.008,0.00297,,,0.3341,0.578,-0.189,0.227,0.282,0.366,90,,,,20.25,20.15,,,,,19.941,19.865,19.899,19.751,19.499,0,106.98562153685717,65.47564925695518
1WGA J1333.7+3803,203.426667,38.06,,AGN,Q,2010A&A...518A..10V,0.604353,2CXO J133342.3+380336,203.4264861,38.0600889,0.988,0.988,12.858,0,0.339443,[VV2000] J133342.3+380336,203.4265772091,38.060027708,0.0,0.0,90.0,25.0,13 33 42.37853,+38 03 36.0997,A,2020yCat.1350....0G,QSO,*|AGN|QSO|X,186871.514,62.956,1.076,0.00021,,,,,-0.101,0.258,0.151,0.178,90,,,,,19.5,18.8,,,,19.091,19.043,18.909,19.087,19.191,0,86.51547998550815,75.92297608489551
1WGA J1333.7+3758,203.434583,37.964722,,AGN,A,2010A&A...518A..10V,0.388626,2CXO J133344.2+375752,203.4344815,37.9646495,0.948,0.948,6.177,0,0.181251,[VV2000] J133344.3+375753,203.4345446427,37.9646419686,0.003,0.006,90.0,9.0,13 33 44.29071,+37 57 52.7111,C,2020yCat.1350....0G,QSO,*|AGN|QSO|X,176949.352,,0.97,,,,,,,,,,32767,,,,21.32,20.94,20.3,,,,,,,,,0,86.23164996526518,75.98934306265679
1WGA J1333.9+3752,203.4825,37.882778,,AGN,Q,2010A&A...518A..10V,0.825563,2CXO J133355.8+375258,203.4826238,37.8829855,0.858,0.858,8.567,0,0.187282,[VV2000] J133355.8+375258,203.4826632894,37.8829438473,0.001,0.001,90.0,19.0,13 33 55.83919,+37 52 58.5979,A,2020yCat.1350....0G,QSO,*|AGN|QSO|X,244259.396,,2.13,,,,0.9346,0.9631,-0.521,-0.048,0.687,0.798,90,,,,22.19,21.31,20.6,,,,22.542,21.683,21.009,20.49,19.876,0,85.8874328371783,76.02373874562716
1WGA J1334.0+3746,203.505,37.779722,,AGN,A,2010A&A...518A..10V,0.959382,2CXO J133401.1+374647,203.5049319,37.779983,0.972,0.972,5.133,0,0.016597,[VV2000] J133401.2+374647,203.504929,37.779987,0.059,0.045,90.0,7.0,13 34 01.183,+37 46 47.95,C,2012ApJS..203...21A,QSO,AGN|QSO|X,207856.23,2997918.576,1.34984,9.99998,,,,,,,,,,,,,23.49,22.56,21.8,,,,23.773,23.209,21.99,21.115,20.657,0,85.54262003918004,76.08710578485844
Q 1331+3806,203.510417,37.858056,,AGN,A,2010A&A...518A..10V,0.479594,2CXO J133402.5+375129,203.5105734,37.858106,0.989,0.989,5.412,0,0.205607,[VV2000] J133402.5+375129,203.510631358,37.858140175,0.003,0.002,90.0,10.0,13 34 02.55153,+37 51 29.3046,C,2020yCat.1350....0G,QSO,*|AGN|QSO|X,207210.218,,1.340137,,,,,,,,,,32767,,,,22.01,21.26,20.5,,,,21.93,21.575,21.02,20.871,20.615,0,85.75038330922224,76.026965154104
SDSS J13343+4750,203.594167,47.8425,,AGN,Q,2010A&A...518A..10V,0.643142,2CXO J133422.6+475033,203.5943041,47.8426531,0.77,0.77,3.818,0,0.07301,[VV2006] J133422.6+475033,203.5943229836,47.8426372674,0.001,0.001,90.0,28.0,13 34 22.63752,+47 50 33.4942,A,2020yCat.1350....0G,QSO,*|QSO|Rad,283360.981,161.888,4.95735,0.00054,,,1.2116,1.0635,-0.255,0.195,0.65,0.891,90,,,,25.5,23.02,,,,,25.02,25.065,20.919,19.536,19.203,0,103.73554326792869,67.65353693983394
1WGA J1334.3+3746,203.6025,37.770833,,AGN,Q,2010A&A...518A..10V,0.193597,2CXO J133424.5+374615,203.6024738,37.7708826,0.903,0.903,5.87,0,0.235554,[VV2000] J133424.6+374615,203.6024041667,37.7708472222,0.043,0.042,0.0,10.0,13 34 24.577,+37 46 15.05,C,2009ApJS..182..543A,QSO,QSO|X,221123.984,,1.57326,,,,,,,,,,,,,,21.62,21.0,20.5,,,,21.704,21.245,20.819,20.442,20.505,0,85.28370513765537,76.04085948606524
UM 587,203.617083,-1.396944,,AGN,Q,2010A&A...518A..10V,0.745153,2CXO J133428.0-012348,203.6168762,-1.3969334,0.832,0.832,2.167,0,0.185168,LBQS 1331-0108,203.6169223244,-1.396956191,0.0,0.0,90.0,71.0,13 34 28.06136,-01 23 49.0423,A,2020yCat.1350....0G,QSO,*|EmO|G|IR|QSO|Rad,231308.035,149.896,1.78479,0.0005,,,,,-0.078,-0.01,0.116,0.065,90,,,,18.61,17.97,,15.825,15.06,14.724,18.741,18.189,17.382,16.896,16.772,0,324.60506958743105,59.65188366543224
Q 1332+3805,203.63,37.831389,,AGN,Q,2010A&A...518A..10V,0.449089,2CXO J133431.2+374953,203.630152,37.8314229,0.747,0.747,5.257,0,0.216508,[VV2000] J133431.2+374953,203.630125,37.8313666667,0.059,0.053,0.0,9.0,13 34 31.230,+37 49 52.92,C,2009ApJS..182..543A,QSO,QSO|X,216229.236,,1.485,,,,,,,,,,,,,,,21.35,21.7,,,,22.406,22.304,21.965,21.581,21.31,0,85.39007612812418,75.9818488384795
1WGA J1334.6+3759,203.674167,38.003056,,AGN,A,2010A&A...518A..10V,0.546514,2CXO J133441.8+380011,203.6743413,38.0031207,0.747,0.747,9.257,0,0.226955,2MASS J13344184+3800115,203.6742765398,38.0030836807,0.002,0.002,90.0,10.0,13 34 41.82637,+38 00 11.1013,C,2020yCat.1350....0G,QSO,*|AGN|IR|QSO|X,68077.774,,0.26,,,,,,,,,,32767,,,,20.36,19.39,18.4,17.084,16.121,15.47,21.462,20.108,18.783,18.264,17.88,0,85.76834703045127,75.83281110672893
1WGA J1334.7+3759,203.678333,37.9875,,AGN,Q,2010A&A...518A..10V,0.365618,2CXO J133442.7+375914,203.6782115,37.9874662,0.739,0.739,8.312,0,0.006292,[VV2000] J133442.8+375915,203.678209316,37.9874658978,0.0,0.0,90.0,14.0,13 34 42.77024,+37 59 14.8772,A,2020yCat.1350....0G,QSO,*|QSO|X,192277.013,,1.13933,,,,0.0791,0.5317,0.141,-0.909,0.408,0.436,90,,,,20.5,20.01,19.8,,,,20.451,20.2,19.918,19.753,19.782,0,85.71556166989264,75.84216869478604
1WGA J1334.7+3757,203.689167,37.956389,,AGN,Q,2010A&A...518A..10V,0.773268,2CXO J133445.3+375722,203.6888979,37.9563557,0.877,0.877,5.412,0,0.239096,[VV2000] J133445.4+375723,203.6889548457,37.9563067614,0.001,0.001,90.0,12.0,13 34 45.34916,+37 57 22.7043,A,2020yCat.1350....0G,QSO,*|IR|QSO|X,235680.129,,1.89,,,,,,-0.149,-0.319,0.792,0.909,90,,,,20.85,20.7,20.5,,,,20.684,20.655,20.738,20.467,20.432,0,85.60339861219876,75.85911176000418
NAME XMM J133447.34+375950.9,203.6975,37.997222,,AGN,A,2010A&A...518A..10V,0.158932,2CXO J133447.3+375949,203.6974477,37.9972062,0.728,0.728,10.178,0,0.211329,NAME XMM J133447.34+375950.9,203.6974,37.9971611111,0.057,0.055,0.0,10.0,13 34 47.376,+37 59 49.78,C,2009ApJS..182..543A,QSO,AGN|QSO|X,195875.668,,1.184,,,,,,,,,,,,,,,21.71,21.5,,,,22.205,22.319,21.75,21.386,21.318,0,85.6975155352942,75.82469917971608
1WGA J1335.2+3802,203.802083,38.046389,,AGN,Q,2010A&A...518A..10V,0.455752,2CXO J133512.5+380246,203.8022434,38.0463802,0.815,0.815,5.452,0,0.235611,[VV2000] J133512.5+380247,203.8022125,38.0463194444,0.056,0.049,0.0,7.0,13 35 12.531,+38 02 46.75,C,2009ApJS..182..543A,QSO,QSO|X,234271.392,,1.855,,,,,,,,,,,,,,,21.52,21.2,,,,22.538,22.305,21.509,20.576,20.066,0,85.58951312734139,75.73234382472535
1WGA J1335.2+3802,203.823333,38.046667,,AGN,A,2010A&A...518A..10V,0.672797,2CXO J133517.6+380247,203.8234616,38.04651,0.849,0.849,6.031,0,0.529733,[MGN2003]  32,203.823332,38.046404,0.074,0.079,90.0,7.0,13 35 17.600,+38 02 47.05,C,2012ApJS..203...21A,QSO,AGN|QSO|X,209824.131,,1.38,,,,,,,,,,,,,,22.91,22.33,21.8,,,,23.63,22.747,22.027,21.702,21.496,0,85.540555173263,75.7207883863222
SDSS J13354+4059,203.86125,40.999167,,AGN,Q,2010A&A...518A..10V,0.541262,2CXO J133526.7+405956,203.8614486,40.9991548,0.795,0.795,5.782,0,0.673265,[VV2006] J133526.7+405957,203.8613906558,40.9993366331,0.0,0.0,90.0,27.0,13 35 26.73376,+40 59 57.6119,A,2020yCat.1350....0G,QSO,*|AGN|QSO|X,230257.101,653.548,1.76093,0.00218,,,0.14,0.1191,-0.081,0.032,0.081,0.107,90,,,,19.26,19.12,,,,,18.937,18.805,18.825,18.547,18.532,0,92.58910662224639,73.43423165024475
SDSS J13360+0707,204.023333,7.121944,,AGN,Q,2010A&A...518A..10V,0.352849,2CXO J133605.5+070718,204.0232891,7.1218562,0.845,0.845,4.703,0,0.394961,SDSS J133605.56+070718.8,204.0232003586,7.1219216416,0.001,0.001,90.0,11.0,13 36 05.56809,+07 07 18.9179,A,2020yCat.1350....0G,QSO,*|QSO,273282.763,179.875,3.64947,0.0006,,,0.1163,1.4338,-0.379,-0.551,1.138,1.101,90,,,,22.03,21.18,,,,,23.237,21.507,20.456,20.458,20.469,0,332.87237946108536,67.36029571036876
SDSS J13370-0246,204.255833,-2.775,,AGN,Q,2010A&A...518A..10V,0.269567,2CXO J133701.3-024630,204.2557955,-2.7750648,0.738,0.738,4.125,0,0.066794,[VV2006] J133701.4-024630,204.2558131481,-2.7750705899,0.0,0.0,90.0,40.0,13 37 01.39516,-02 46 30.2541,A,2020yCat.1350....0G,BLLac,*|BLL|IR|QSO|Rad,265538.427,50.965,3.06252,0.00017,,,0.1861,0.3486,-0.086,-0.158,0.239,0.135,90,,,,19.5,19.11,,,,,21.03,19.07,18.717,18.536,18.5,0,324.8884729204754,58.140103008340546
SDSS J13378+3753,204.454583,37.898889,,AGN,A,2010A&A...518A..10V,0.393131,2CXO J133749.0+375356,204.4544449,37.8988958,0.74,0.74,13.542,0,0.731393,2MASS J13374907+3753563,204.4543894141,37.8990941908,0.0,0.0,90.0,13.0,13 37 49.05346,+37 53 56.7391,A,2020yCat.1350....0G,Seyfert_1,*|AGN|IR|QSO|Sy1,89629.11,20.985,0.36123,7e-05,,,0.3676,0.2447,-0.25,0.007,0.149,0.186,90,,,,19.57,19.31,,17.403,16.129,15.488,19.353,19.169,18.991,18.94,18.507,0,83.6966401279384,75.47801984410778
CXO J13381+2924,204.5375,29.403611,,AGN,Q,2010A&A...518A..10V,0.380182,2CXO J133808.9+292413,204.5373789,29.4036161,0.928,0.928,7.06,0,0.221723,CXOSEXSI J133808.9+292412,204.5373181149,29.4035846506,0.0,0.0,90.0,5.0,13 38 08.95635,+29 24 12.9047,A,2020yCat.1350....0G,QSO,*|AGN|QSO|X,251638.658,,2.384,,,,1.0005,0.5908,0.325,0.495,0.73,0.448,90,,,,,,19.64,,,,21.159,20.453,20.486,20.299,20.163,0,48.13657977616541,79.47105256190993
TEX 1335-194,204.60875,-19.708611,,AGN,Q,2010A&A...518A..10V,0.591457,2CXO J133826.0-194231,204.6087134,-19.7087716,0.745,0.745,3.833,0,1.224875,[DBC2004] M03,204.6085416667,-19.7084722222,,,172.0,94.0,13 38 26.05,-19 42 30.5,C,2008ApJ...673..143O,RadioG,EmG|G|QSO|Rad|mm|rG,277677.428,,4.11,,,,,,,,,,,0.021,0.021,90,,,22.4,,,20.0,,,22.44,23.14,23.05,0,317.83280249075506,41.799149319641025
SDSS J13395+5546,204.891667,55.770556,,AGN,A,2010A&A...518A..10V,0.252615,2CXO J133933.9+554613,204.8915722,55.7705104,0.715,0.715,21.474,0,0.277929,2MASS J13393397+5546142,204.8916421914,55.7705768092,0.0,0.0,90.0,8.0,13 39 33.99413,+55 46 14.0765,A,2020yCat.1350....0G,Seyfert_2,*|AGN|G|IR|Sy1|Sy2|rG,34621.866,245.83,0.123,0.00082,,,,,-0.407,-0.403,0.422,0.448,90,0.33,0.26,15,17.67,17.08,,15.591,14.935,13.697,18.839,17.397,16.605,16.08,15.857,0,109.33942889790538,60.06951687812487
NGC 5253,204.983333,-31.64,,AGN,A,2010A&A...518A..10V,0.439147,2CXO J133956.0-313824,204.9834585,-31.6400588,0.719,0.719,9.338,0,0.43815,[OWB2005] NGC 5253 P5,204.9833333333,-31.64,,,172.0,1.0,13 39 56.0,-31 38 24,D,2005MNRAS.358.1423O,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,314.86049927732273,30.105899426812414
SDSS J13407+4011,205.2,40.188333,,AGN,Q,2010A&A...518A..10V,0.436646,2CXO J134047.9+401118,205.1999574,40.1884498,0.828,0.828,14.362,0,0.589665,[VV2006] J134048.0+401118,205.1997680815,40.1883729071,0.0,0.0,90.0,21.0,13 40 47.94434,+40 11 18.1425,A,2020yCat.1350....0G,QSO,*|QSO|X,193539.417,143.9,1.15476,0.00048,,,0.2098,0.2035,0.054,-0.119,0.114,0.143,90,,,,19.48,19.22,,,,,19.092,18.95,18.822,18.744,18.834,0,88.03027521894715,73.4204172961314
RXS J13410+3959,205.27125,39.995833,,AGN,B,2010A&A...518A..10V,0.567592,2CXO J134105.1+395945,205.2713154,39.9959825,0.786,0.786,184.241,0,0.15672,7C 1338+4015,205.271278267,39.9959495469,0.0,0.0,90.0,68.0,13 41 05.10678,+39 59 45.4184,A,2020yCat.1350....0G,BLLac,*|AGN|BL?|BLL|Bla|Bz?|G|Rad|X|gam|rG,47047.799,14.99,0.17145,5e-05,,,,,0.026,0.026,0.126,0.148,90,0.273,0.153,70,18.93,18.24,14.9,14.438,13.589,13.204,18.961,18.26,17.484,17.117,16.187,0,87.43418160979155,73.5265880639764
MARK  270,205.274167,67.672222,,AGN,A,2010A&A...518A..10V,0.363648,2CXO J134105.7+674019,205.2739634,67.672157,0.712,0.712,17.847,0,0.202111,NGC  5283,205.2739582136,67.6722131073,0.0,0.0,90.0,241.0,13 41 05.74997,+67 40 19.9672,A,2020yCat.1350....0G,Seyfert_2,*|AGN|G|IR|Sy2|X,2856.177,234.138,0.009573,0.000781,,S0:,,,-0.772,1.699,0.575,0.523,90,0.713,0.585,120,14.97,14.05,,10.968,10.29,9.974,,,,,,0,115.81442526195121,48.76412614657043
NPM1G-14.0512,205.30375,-14.644444,,AGN,A,2010A&A...518A..10V,0.460651,2CXO J134112.8-143840,205.3036269,-14.6444909,0.717,0.717,21.04,0,0.206794,2MASX J13411287-1438407,205.3036815811,-14.6445132782,0.0,0.0,90.0,73.0,13 41 12.88358,-14 38 40.2478,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|IR|Sy1|X,12255.85,76.147,0.041752,0.000254,,,,,0.008,-0.077,0.044,0.033,90,0.54,0.324,115,15.02,14.63,11.5,12.121,11.412,10.648,,,,,,0,320.5677282069462,46.51573209209136
3C 288.1,205.555,60.361944,,AGN,Q,2010A&A...518A..10V,0.669356,2CXO J134213.2+602142,205.5553756,60.3619351,0.712,0.712,23.988,0,0.308639,3C 288.1,205.5552417499,60.3618806131,0.0,0.0,90.0,140.0,13 42 13.25802,+60 21 42.7702,A,2020yCat.1350....0G,QSO,*|AGN|G|IR|QSO|Rad|X,176265.508,47.967,0.96313,0.00016,,,,,0.079,0.047,0.088,0.091,90,,,,18.26,17.97,,16.309,16.348,15.516,17.965,17.767,17.576,17.604,17.571,0,111.82416175423752,55.65765094044651
F864:114,205.841667,0.002778,,AGN,Q,2010A&A...518A..10V,0.474062,2CXO J134322.0+000009,205.8417957,0.00275,0.783,0.783,6.067,0,0.193772,[VV96] J134322.0+000010,205.8417797469,0.0028014071,0.0,0.0,90.0,11.0,13 43 22.02714,+00 00 10.0851,A,2020yCat.1350....0G,QSO,*|QSO,238998.222,,1.977,,,,,,0.585,-0.027,0.497,0.416,90,,,,20.75,,,19.574,19.51,19.612,20.46,20.354,20.311,20.057,19.906,0,329.7550777502161,60.14193484822157
RX J13434+0001,205.871667,0.025833,,AGN,Q,2010A&A...518A..10V,0.501506,2CXO J134329.2+000132,205.8717814,0.0257535,0.715,0.715,10.836,0,0.15733,2XMM J134329.2+000132,205.8717465493,0.0257798698,0.079,0.021,90.0,23.0,13 43 29.21917,+00 01 32.8075,C,2020yCat.1350....0G,Seyfert_1,*|AGN|QSO|Sy1|X|gam,250655.856,,2.347,,,,,,,,,,,,,,21.86,21.24,,,,,22.441,21.524,21.13,20.696,20.333,0,329.82881352857794,60.15093920298956
SDSS J13435-0002,205.88625,-0.034444,,AGN,Q,2010A&A...518A..10V,0.595202,2CXO J134332.6-000203,205.8862182,-0.0342818,0.801,0.801,10.076,0,0.223498,2XMM J134332.7-000202,205.8861708333,-0.0342416667,0.052,0.046,0.0,5.0,13 43 32.681,-00 02 03.27,C,2009ApJS..182..543A,QSO,QSO|X,155125.676,,0.7733,,,,,,,,,,,,,,20.3,20.13,,19.599,19.513,18.873,20.65,20.187,20.212,20.143,19.607,0,329.8068409418564,60.0901704728499
SDSS J13442-0030,206.05375,-0.501389,,AGN,A,2010A&A...518A..10V,0.634723,2CXO J134412.8-003005,206.0537076,-0.5015601,0.77,0.77,6.09,0,0.085493,2SLAQ J134412.89-003005.5,206.053696515,-0.5015390977,0.001,0.001,90.0,20.0,13 44 12.88716,-00 30 05.5408,A,2020yCat.1350....0G,Seyfert_1,*|AGN|QSO|Rad|Sy1|X,146837.022,503.651,0.7088,0.00168,,,0.2652,1.3201,-0.418,1.486,1.338,1.184,90,,,,20.92,20.65,,,,,21.378,21.006,20.733,20.397,20.208,0,329.7383579885379,59.59497621118464
